game,turn,pre_total_score,chance_score,ones_score,twos_score,threes_score,fours_score,fives_score,sixes_score,three_kind_score,four_kind_score,full_house_score,small_straight_score,large_straight_score,yahtzee_score,hand_1_dice_1,hand_1_dice_2,hand_1_dice_3,hand_1_dice_4,hand_1_dice_5,chance_potential_1,ones_potential_1,twos_potential_1,threes_potential_1,fours_potential_1,fives_potential_1,sixes_potential_1,three_kind_potential_1,four_kind_potential_1,full_house_potential_1,small_straight_potential_1,large_straight_potential_1,yahtzee_potential_1,picks_1_dice_1,picks_1_dice_2,picks_1_dice_3,picks_1_dice_4,picks_1_dice_5,hand_2_dice_1,hand_2_dice_2,hand_2_dice_3,hand_2_dice_4,hand_2_dice_5,chance_potential_2,ones_potential_2,twos_potential_2,threes_potential_2,fours_potential_2,fives_potential_2,sixes_potential_2,three_kind_potential_2,four_kind_potential_2,full_house_potential_2,small_straight_potential_2,large_straight_potential_2,yahtzee_potential_2,picks_2_dice_1,picks_2_dice_2,picks_2_dice_3,picks_2_dice_4,picks_2_dice_5,hand_3_dice_1,hand_3_dice_2,hand_3_dice_3,hand_3_dice_4,hand_3_dice_5,chance_potential_3,ones_potential_3,twos_potential_3,threes_potential_3,fours_potential_3,fives_potential_3,sixes_potential_3,three_kind_potential_3,four_kind_potential_3,full_house_potential_3,small_straight_potential_3,large_straight_potential_3,yahtzee_potential_3,score_pick,turn_score,post_total_score
1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,5,2,1,19,1,2,0,0,10,6,0,0,0,0,0,0,0,1,1,0,0,5,5,5,4,2,21,0,2,0,4,15,0,21,0,0,0,0,0,1,1,1,0,0,6,5,5,5,4,25,0,0,0,4,15,6,25,0,0,0,0,0,chance,25,25
1,2,25,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,5,5,5,-1,0,0,0,0,15,12,27,0,25,0,0,0,1,1,1,1,1,6,6,5,5,5,-1,0,0,0,0,15,12,27,0,25,0,0,0,1,1,1,1,1,6,6,5,5,5,-1,0,0,0,0,15,12,27,0,25,0,0,0,three_kind,27,52
1,3,52,25,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,6,5,2,2,1,-1,1,4,0,0,5,6,-1,0,0,0,0,0,0,0,1,1,0,4,3,2,2,1,-1,1,4,3,4,0,0,-1,0,0,30,0,0,0,0,1,1,0,5,2,2,2,1,-1,1,6,0,0,5,0,-1,0,0,0,0,0,twos,6,58
1,4,58,25,-1,6,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,5,4,4,4,3,-1,0,-1,3,12,5,0,-1,0,0,0,0,0,0,1,1,1,0,5,4,4,4,4,-1,0,-1,0,16,5,0,-1,21,0,0,0,0,0,1,1,1,1,4,4,4,4,3,-1,0,-1,3,16,0,0,-1,19,0,0,0,0,four_kind,19,77
1,5,77,25,-1,6,-1,-1,-1,-1,27,19,-1,-1,-1,-1,6,6,5,4,1,-1,1,-1,0,4,5,12,-1,-1,0,0,0,0,1,1,0,0,0,6,6,3,3,2,-1,0,-1,6,0,0,12,-1,-1,0,0,0,0,1,1,1,1,0,6,6,5,3,3,-1,0,-1,6,0,5,12,-1,-1,0,0,0,0,sixes,12,89
1,6,89,25,-1,6,-1,-1,-1,12,27,19,-1,-1,-1,-1,6,5,2,1,1,-1,2,-1,0,0,5,-1,-1,-1,0,0,0,0,0,0,0,1,1,6,4,4,1,1,-1,2,-1,0,8,0,-1,-1,-1,0,0,0,0,0,1,1,1,1,4,4,2,1,1,-1,2,-1,0,8,0,-1,-1,-1,0,0,0,0,fours,8,97
1,7,97,25,-1,6,-1,8,-1,12,27,19,-1,-1,-1,-1,6,5,4,3,2,-1,0,-1,3,-1,5,-1,-1,-1,0,30,40,0,0,0,0,0,0,4,3,3,2,1,-1,1,-1,6,-1,0,-1,-1,-1,0,30,0,0,0,1,1,0,0,6,5,3,3,1,-1,1,-1,6,-1,5,-1,-1,-1,0,0,0,0,threes,6,103
1,8,103,25,-1,6,6,8,-1,12,27,19,-1,-1,-1,-1,5,4,2,1,1,-1,2,-1,-1,-1,5,-1,-1,-1,0,0,0,0,0,0,0,1,1,6,5,1,1,1,-1,3,-1,-1,-1,5,-1,-1,-1,0,0,0,0,0,0,1,1,1,2,2,1,1,1,-1,3,-1,-1,-1,0,-1,-1,-1,25,0,0,0,full_house,25,128
1,9,128,25,-1,6,6,8,-1,12,27,19,25,-1,-1,-1,4,4,2,2,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,1,1,1,1,0,4,4,2,2,1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,1,1,1,1,0,4,4,2,2,2,-1,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,ones,0,128
1,10,128,25,0,6,6,8,-1,12,27,19,25,-1,-1,-1,6,5,3,3,3,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,0,0,0,0,0,1,1,1,5,4,3,3,3,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,0,0,0,0,0,1,1,1,6,3,3,3,1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,fives,0,128
